date,consumption
1598936400000,74
1598940000000,100
1598943600000,45
1598947200000,55
1598950800000,77
1598954400000,12
1598958000000,65
1598961600000,89
1598965200000,74
1598968800000,31
1598972400000,11
1598976000000,60
1598979600000,49
1598983200000,74
1598986800000,22
1598990400000,84
1598994000000,79
1598997600000,86
1599001200000,28
1599004800000,30
1599008400000,31
1599012000000,96
1599015600000,23
1599019200000,20
1599022800000,55
1599026400000,26
1599030000000,45
1599033600000,51
1599037200000,28
1599040800000,46
1599044400000,33
1599048000000,25
1599051600000,42
1599055200000,69
1599058800000,88
1599062400000,86
1599066000000,80
1599069600000,28
1599073200000,87
1599076800000,9
1599080400000,75
1599084000000,64
1599087600000,71
1599091200000,4
1599094800000,72
1599098400000,95
1599102000000,61
1599105600000,92
1599109200000,75
1599112800000,66
1599116400000,20
1599120000000,20
1599123600000,42
1599127200000,54
1599130800000,2
1599134400000,31
1599138000000,79
1599141600000,2
1599145200000,46
1599148800000,90
1599152400000,1
1599156000000,23
1599159600000,93
1599163200000,25
1599166800000,71
1599170400000,25
1599174000000,55
1599177600000,82
1599181200000,30
1599184800000,26
1599188400000,100
1599192000000,89
1599195600000,31
1599199200000,60
1599202800000,59
1599206400000,74
1599210000000,66
1599213600000,76
1599217200000,72
1599220800000,40
1599224400000,76
1599228000000,15
1599231600000,72
1599235200000,31
1599238800000,53
1599242400000,17
1599246000000,65
1599249600000,21
1599253200000,47
1599256800000,29
1599260400000,14
1599264000000,37
1599267600000,62
1599271200000,29
1599274800000,76
1599278400000,69
1599282000000,69
1599285600000,52
1599289200000,82
1599292800000,65
1599296400000,53
1599300000000,86
1599303600000,15
1599307200000,28
1599310800000,36
1599314400000,60
1599318000000,43
1599321600000,67
1599325200000,75
1599328800000,37
1599332400000,47
1599336000000,85
1599339600000,68
1599343200000,14
1599346800000,3
1599350400000,43
1599354000000,48
1599357600000,90
1599361200000,45
1599364800000,5
1599368400000,89
1599372000000,39
1599375600000,68
1599379200000,63
1599382800000,32
1599386400000,53
1599390000000,24
1599393600000,56
1599397200000,1
1599400800000,63
1599404400000,36
1599408000000,59
1599411600000,68
1599415200000,1
1599418800000,4
1599422400000,76
1599426000000,28
1599429600000,72
1599433200000,98
1599436800000,14
1599440400000,86
1599444000000,30
1599447600000,41
1599451200000,54
1599454800000,56
1599458400000,65
1599462000000,85
1599465600000,21
1599469200000,31
1599472800000,39
1599476400000,43
1599480000000,93
1599483600000,49
1599487200000,56
1599490800000,42
1599494400000,15
1599498000000,22
1599501600000,59
1599505200000,65
1599508800000,11
1599512400000,45
1599516000000,38
1599519600000,62
1599523200000,89
1599526800000,51
1599530400000,37
1599534000000,96
1599537600000,17
1599541200000,45
1599544800000,74
1599548400000,24
1599552000000,40
1599555600000,72
1599559200000,54
1599562800000,66
1599566400000,39
1599570000000,97
1599573600000,2
1599577200000,89
1599580800000,73
1599584400000,10
1599588000000,41
1599591600000,84
1599595200000,79
1599598800000,72
1599602400000,21
1599606000000,24
1599609600000,72
1599613200000,56
1599616800000,70
1599620400000,51
1599624000000,32
1599627600000,57
1599631200000,67
1599634800000,81
1599638400000,42
1599642000000,71
1599645600000,85
1599649200000,55
1599652800000,73
1599656400000,40
1599660000000,41
1599663600000,56
1599667200000,2
1599670800000,70
1599674400000,91
1599678000000,58
1599681600000,51
1599685200000,36
1599688800000,94
1599692400000,35
1599696000000,32
1599699600000,81
1599703200000,23
1599706800000,92
1599710400000,53
1599714000000,14
1599717600000,22
1599721200000,7
1599724800000,100
1599728400000,48
1599732000000,11
1599735600000,94
1599739200000,36
1599742800000,18
1599746400000,46
1599750000000,63
1599753600000,69
1599757200000,27
1599760800000,57
1599764400000,22
1599768000000,26
1599771600000,32
1599775200000,77
1599778800000,73
1599782400000,85
1599786000000,80
1599789600000,90
1599793200000,70
1599796800000,94
1599800400000,12
1599804000000,97
1599807600000,34
1599811200000,41
1599814800000,80
1599818400000,49
1599822000000,42
1599825600000,80
1599829200000,67
1599832800000,40
1599836400000,3
1599840000000,20
1599843600000,73
1599847200000,76
1599850800000,39
1599854400000,83
1599858000000,47
1599861600000,19
1599865200000,46
1599868800000,46
1599872400000,77
1599876000000,9
1599879600000,63
1599883200000,50
1599886800000,100
1599890400000,41
1599894000000,63
1599897600000,46
1599901200000,55
1599904800000,58
1599908400000,52
